state,institution,city,specialty,program_code,quota_2026,filled_2026,quota_2025,filled_2025,quota_2024,filled_2024,quota_2023,filled_2023,quota_2022,filled_2022
Alabama,Mobile,Emergency Medicine,Internal Medicine,1852140C0,18,18,18,18,18,18,18,18,18,18
Alabama,Mobile,Emergency Medicine,Medicine-Preliminary,1852140P0,6,6,5,5,6,4,5,4,6,5
Alabama,Mobile,Emergency Medicine,Neurology,1852180C0,5,5,5,5,5,5,4,3,4,2
Alabama,Mobile,Emergency Medicine,Neurology,1852180R0,,,,,,,,,1,1
Alabama,Obstetrics-Gynecology,,Orthopaedic Surgery,1852260C0,3,3,3,3,3,3,3,3,3,3
Alabama,Obstetrics-Gynecology,,Pathology,1852300C0,2,2,4,4,3,3,3,3,3,3
Alabama,Obstetrics-Gynecology,,Pediatrics,1852320C0,12,11,12,12,12,10,12,12,12,12
Alabama,Mobile,,Psychiatry,1852400C0,5,5,5,5,5,5,5,5,5,5
Alabama,Mobile,,Radiology-Diagnostic,1852420A0,4,4,5,5,6,6,4,4,4,4
Alabama,Mobile,Radiology-Diagnostic,General Surgery,1852440C0,6,6,6,6,6,6,6,6,6,6
Alabama,Mobile,Radiology-Diagnostic,Surgery-Preliminary,1852440P0,3,1,4,2,4,2,4,2,4,1
Alabama,Mobile,Radiology-Diagnostic,Medicine-Pediatrics,1852700C0,2,2,2,2,2,2,2,2,3,3
Alabama,UAB Selma Fam Med Res-AL,Selma,Family Medicine,3061120C0,,,5,5,5,5,5,5,6,6
Alaska,Soldotna,,Medicine-Primary/Rural,2397140M0,2,0,2,2,2,2,,,,
Arizona,Abrazo Health Network-AZ,Phoenix,Emergency Medicine,2002110C0,7,7,7,7,6,6,8,5,6,6
Arizona,Abrazo Health Network-AZ,Phoenix,Family Medicine,2002120C0,7,0,7,2,7,7,7,7,7,6
Arizona,Abrazo Health Network-AZ,Phoenix,Internal Medicine,2002140C0,16,16,16,12,16,16,16,16,16,16
Arizona,General Surgery,,Transitional,2002999P0,12,12,12,12,15,15,15,14,13,13
Arizona,Phoenix,Neurological Surgery,Neurology,1012180C0,9,,9,9,9,9,7,7,7,
Arizona,Phoenix,Neurological Surgery,Neurology,1012180R0,,,,,,,1,1,,
Arizona,Emergency Medicine,,Family Medicine,2346120C0,8,8,6,5,6,6,6,6,,
Arizona,Emergency Medicine,,Internal Medicine,2346140C0,10,10,10,10,10,10,10,10,,
Arizona,Emergency Medicine,,Medicine-Preliminary,2346140P0,3,3,3,3,3,3,3,3,,
Arizona,Emergency Medicine,,Obstetrics-Gynecology,2346220C0,4,4,4,4,,,,,,
Arizona,Emergency Medicine,,General Surgery,2346440C0,3,3,3,3,3,3,3,3,,
Arizona,Creighton University SOM Phoenix-AZ,Phoenix,Anesthesiology,2154040C0,8,8,,,,,,,,
Arizona,Creighton University SOM Phoenix-AZ,Phoenix,Emergency Medicine,2154110C0,16,16,16,16,16,16,16,16,16,16
Arizona,Creighton University SOM Phoenix-AZ,Phoenix,Family Medicine,2154120C0,9,3,9,8,8,8,8,8,8,8
Arizona,Internal Medicine,,Medicine-Preliminary,2154140P0,7,7,7,7,7,7,7,5,7,5
Arizona,Internal Medicine,,Obstetrics-Gynecology,2154220C0,9,9,9,9,8,8,8,8,8,8
Arizona,Internal Medicine,,Ob-Gyn/Preliminary,2154220P0,,,,,1,1,1,1,1,1
Arizona,Internal Medicine,,Psychiatry,2154400C0,8,8,6,6,7,7,7,7,6,6
Arizona,Internal Medicine,,Radiology-Diagnostic,2154420A0,8,8,8,8,8,8,8,8,8,8
Arizona,Internal Medicine,General Surgery,Surgery-Preliminary,2154440P2,12,5,12,6,12,3,12,1,12,2
Arizona,El Rio Health-AZ,Tucson,Family Medicine,2413120C0,4,4,4,1,,,,,,
Arizona,Scottsdale,,Dermatology,1929080A0,2,2,2,2,2,2,2,2,2,2
Arizona,Scottsdale,,Family Medicine/Osborn,1929120C0,12,10,9,9,9,9,8,8,8,8
Arizona,Scottsdale,Family Med/Four Peaks Med Center,Internal Med/Thompson Peak,1929140C0,10,10,7,7,6,6,6,6,6,6
Arizona,Scottsdale,Family Med/Four Peaks Med Center,Internal Med/Four Peaks Med Center,1929140C1,5,5,,,,,,,,
Arizona,Scottsdale,Family Med/Four Peaks Med Center,Med-Prelim/PM&R,1929140P1,,,,,,,2,2,2,2
Arizona,Scottsdale,Family Med/Four Peaks Med Center,Med-Prelim/TP-Dermatology,1929140P2,2,2,2,2,2,2,2,1,2,2
Arizona,Phys Medicine & Rehab,,Phys Medicine & Rehab,1929340C0,4,4,4,4,4,4,,,,
Arizona,Phys Medicine & Rehab,,Phys Medicine & Rehab,1929340R0,,,,,,,2,1,,
Arizona,Phys Medicine & Rehab,,General Surgery/Lincoln,1929440C0,4,4,4,4,4,4,4,4,4,4
Arizona,Marana,,Family Medicine,2356120C0,4,4,,,4,4,4,4,,
Arizona,Scottsdale,,Anesthesiology,3200040A0,1,1,1,1,1,1,1,1,1,1
Arizona,Scottsdale,Anesthesiology,Anesthesiology,3200040R0,,,,,,,1,1,1,1
Arizona,Scottsdale,Anesthesiology,Dermatology,3200080C0,2,2,2,2,2,2,2,2,2,2
Arizona,Scottsdale,Anesthesiology,Internal Medicine,3200140C0,16,16,15,15,15,15,15,15,13,13
Arizona,Scottsdale,Anesthesiology,Neurological Surgery,3200160C0,1,1,1,1,1,1,1,1,1,1
Arizona,Scottsdale,Anesthesiology,Neurology,3200180C0,5,5,5,5,5,5,5,5,5,5
Arizona,Orthopaedic Surgery,,Otolaryngology,3200280C0,3,3,3,3,3,3,2,2,2,2
Arizona,Orthopaedic Surgery,,Plastic Surgery (Integrated),3200362C0,2,2,2,2,2,2,1,1,1,1
Arizona,Orthopaedic Surgery,,Interventional Radiology (Integ),3200416A0,1,1,1,1,,,,,,
Arizona,Orthopaedic Surgery,,Interventional Radiology (Integ),3200416R0,,,1,1,,,,,,
Arizona,Orthopaedic Surgery,,Radiology-Diagnostic,3200420A0,1,1,,,,,,,2,2
Arizona,Orthopaedic Surgery,Radiology-Diagnostic,Radiology-Diagnostic,3200420R0,,,,,,,2,2,,
Arizona,Orthopaedic Surgery,Radiology-Diagnostic,Radiation Oncology,3200430C0,1,1,1,1,1,1,1,1,1,0
Arizona,Orthopaedic Surgery,Radiology-Diagnostic,General Surgery,3200440C0,5,5,5,5,5,5,4,4,4,4
Arizona,Mayo Clinic School of Grad Med,Scottsdale,Surgery-Preliminary,3200440P0,4,4,4,4,4,4,3,3,1,1
Arizona,Midwestern University OPTI-AZ,Phoenix,Dermatology/Phoenix,2156080A0,2,2,,,,,,,,
Arizona,Midwestern University OPTI-AZ,Phoenix,Dermatology/Phoenix,2156080R0,2,2,,,,,,,,
Arizona,Midwestern University OPTI-AZ,Phoenix,Emergency Medicine/Kingman,2156110C0,6,6,6,6,6,6,6,4,6,6
Arizona,Midwestern University OPTI-AZ,Phoenix,Family Medicine/Sierra Vista,2156120C0,4,2,4,3,4,3,4,4,4,0
Arizona,Family Medicine/Kingman,,Family Medicine/Mesa,2156120C2,,,5,3,5,5,5,5,5,3
Arizona,Family Medicine/Kingman,,Internal Medicine/Cottonwood,2156140C0,6,6,6,6,5,4,5,4,5,5
Arizona,Family Medicine/Kingman,,Internal Medicine/Mesa,2156140C1,,,5,5,5,5,5,5,5,5
Arizona,Family Medicine/Kingman,,Internal Medicine/Sierra Vista,2156140C2,6,5,6,4,5,5,5,2,5,5
Arizona,Family Medicine/Kingman,,General Surgery/Mesa,2156440C0,,,3,3,3,3,3,3,2,2
Arizona,Flagstaff,,Family Medicine,2243120C0,4,0,4,1,4,4,4,4,4,4
Arizona,Yuma,,Family Medicine,1488120C1,12,12,12,12,10,9,8,5,8,7
Arizona,Yuma,,Psychiatry,1488400C0,4,0,,,,,,,,
Arizona,Phoenix,Child Neurology,Child Neurology,2952185R0,,,,,1,0,2,0,,
Arizona,Phoenix,Child Neurology,Pediatrics,2952320C0,36,36,36,36,36,36,36,36,36,36
Arizona,Phoenix,Child Neurology,Pediatrics-Medical Genetics,2952765C0,1,0,1,0,,,,,,
Arizona,Tucson Hospitals Med Ed-AZ,Tucson,Internal Medicine,1014140C0,10,10,10,10,6,6,6,6,,
Arizona,Tucson Hospitals Med Ed-AZ,Tucson,Neurology,1014180C0,2,2,,,,,,,,
Arizona,Tucson Hospitals Med Ed-AZ,Tucson,Pediatrics,1014320C0,6,4,6,6,4,3,4,4,4,4
Arizona,Tucson Hospitals Med Ed-AZ,Tucson,Transitional,1014999P0,11,11,13,13,13,13,13,13,13,13
Arizona,U Arizona COM-Phoenix,Phoenix,Family Medicine,1011120C0,8,8,8,7,8,8,8,8,8,8
Arizona,U Arizona COM-Phoenix,Phoenix,Family Medicine/Payson,1011120C1,2,1,2,1,6,3,,,,
Arizona,U Arizona COM-Phoenix,Phoenix,Family Med/Banner Desert,1011120C2,6,6,6,6,,,,,,
Arizona,Internal Medicine,,Internal Med/Banner Desert,1011140C2,18,18,18,18,,,,,,
Arizona,Internal Medicine,,Internal Med/Banner Del Webb,1011140C3,20,20,20,20,,,,,,
Arizona,Internal Medicine,,Int Med/Banner Desert-Rural,1011140C4,2,2,2,2,,,,,,
Arizona,Internal Medicine,,Medicine-Primary,1011140M0,1,1,2,2,1,1,2,2,2,2
Arizona,Internal Medicine,,Medicine-Preliminary,1011140P0,8,8,8,8,8,8,8,6,8,8
Arizona,Internal Medicine,Neurological Surgery,Neurology,1011180C0,4,4,4,4,4,4,3,3,3,3
Arizona,U Arizona COM-Phoenix (Continued),Phoenix,Obstetrics-Gynecology,1011220C0,9,9,9,9,9,9,9,9,9,9
Arizona,U Arizona COM-Phoenix (Continued),Phoenix,Orthopaedic Surgery,1011260C0,4,4,4,4,4,4,4,4,4,4
Arizona,Psychiatry,,Psychiatry/Research,1011400C1,1,1,,,,,,,,
Arizona,Psychiatry,,Interventional Radiology (Integ),1011416A0,2,2,2,2,2,2,2,2,2,2
Arizona,Psychiatry,,General Surgery,1011440C0,7,7,7,7,7,7,7,7,7,7
Arizona,Psychiatry,,General Surgery/Rural,1011440C1,1,1,1,1,1,1,1,1,1,1
Arizona,Psychiatry,,Surgery-Preliminary,1011440P1,5,1,5,1,5,3,5,3,5,3
Arizona,U Arizona COM-South Campus,Tucson,Emergency Medicine,1371110C0,,,8,8,7,7,6,6,6,6
Arizona,U Arizona COM-South Campus,Tucson,Family Medicine,1371120C0,,,8,4,8,8,8,8,8,6
Arizona,U Arizona COM-Tucson,Tucson,Anesthesiology,1015040A0,6,6,6,6,6,6,6,6,12,12
Arizona,U Arizona COM-Tucson,Tucson,Anesthesiology,1015040C0,6,6,6,6,6,6,6,6,,
Arizona,U Arizona COM-Tucson,Tucson,Anesthesiology,1015040R0,1,1,1,1,1,1,1,1,2,2
Arizona,Dermatology,,Emergency Medicine,1015110C0,14,14,14,14,14,14,15,15,15,15
Arizona,Dermatology,,Emergency Med/South Campus,1015110C1,8,8,,,,,,,,
Arizona,Dermatology,,Family Medicine/Alvernon,1015120C0,8,8,8,6,8,8,8,8,8,8
Arizona,Dermatology,,Family Med/South Campus,1015120C1,8,5,,,,,,,,
Arizona,Dermatology,Internal Medicine,Medicine-Preliminary,1015140P0,4,4,4,4,4,3,4,4,7,6
Arizona,Dermatology,Internal Medicine,Neurological Surgery,1015160C0,2,2,2,2,1,1,1,1,1,1
Arizona,Dermatology,Internal Medicine,Neurology,1015180C0,6,6,6,6,6,6,6,6,6,6
Arizona,Dermatology,Internal Medicine,Obstetrics-Gynecology,1015220C0,5,5,5,5,4,4,4,4,4,4
Arizona,Dermatology,Internal Medicine,Orthopaedic Surgery,1015260C0,5,5,4,4,4,4,4,4,4,4
Arizona,Otolaryngology,,Pathology,1015300C0,4,4,3,3,5,5,4,4,4,4
Arizona,Otolaryngology,,Pediatrics,1015320C0,16,16,16,12,16,9,14,14,14,14
Arizona,Otolaryngology,,Psychiatry,1015400C0,12,12,12,12,12,12,12,12,12,12
Arizona,Otolaryngology,,Interventional Radiology (Integ),1015416A0,3,3,3,3,1,1,1,1,1,1
Arizona,Otolaryngology,,Interventional Radiology (Integ),1015416R0,,,2,2,,,,,,
Arizona,Otolaryngology,Radiology-Diagnostic,Radiation Oncology,1015430A0,1,1,2,2,1,1,1,1,1,1
Arizona,Otolaryngology,Radiology-Diagnostic,General Surgery,1015440C0,10,10,10,10,8,8,8,8,8,8
Arizona,Otolaryngology,Radiology-Diagnostic,Surgery-Preliminary,1015440P0,12,12,12,12,12,12,8,7,8,8
Arizona,Otolaryngology,Radiology-Diagnostic,Vascular Surgery,1015451C0,1,1,1,1,1,1,1,1,1,1
Arkansas,Arkansas Coll Osteo Med,Fort Smith,Family Medicine/Mercy-Ft Smith,2295120C0,10,10,10,10,8,8,8,4,8,8
Arkansas,Internal Medicine/Poplar Bluff,,Internal Medicine/Mercy-Ft Smith,2295140C1,13,13,13,13,13,13,8,8,8,8
Arkansas,Internal Medicine/Poplar Bluff,,Internal Medicine/Hunt Regional,2295140C2,8,4,8,8,,,,,,
Arkansas,Internal Medicine/Poplar Bluff,,Transitional/Mercy-Ft Smith,2295999P0,12,10,12,8,,,,,,
Arkansas,North Little Rock,,Family Medicine,2198120C0,12,5,12,8,11,11,12,9,12,11
Arkansas,North Little Rock,,Internal Medicine,2198140C0,15,9,15,15,15,15,15,13,12,12
Arkansas,North Little Rock,Psychiatry,Transitional,2198999P0,12,12,12,12,12,12,12,12,12,6
Arkansas,Baptist Mem Med Education-AR,Jonesboro,Internal Medicine,2269140C0,8,3,8,6,8,4,8,8,8,8
Arkansas,CHI St Vincent Hot Springs-AR,Hot Springs,Internal Medicine,2277140C0,12,12,12,12,12,11,6,3,6,6
Arkansas,Conway Reg Health Sys-AR,Conway,Family Medicine,2250120C0,4,4,4,4,4,4,5,5,4,4
Arkansas,Conway Reg Health Sys-AR,Conway,Family Medicine/Rural,2250120C1,2,1,2,2,2,1,2,2,,
Arkansas,Conway Reg Health Sys-AR,Conway,Internal Medicine,2250140C0,5,1,5,5,5,5,5,5,5,5
Arkansas,St Bernards Med Ctr-AR,Jonesboro,Internal Medicine,2214140C0,8,8,8,8,8,8,8,8,8,7
Arkansas,U Arkansas COM-Fayetteville,Fayetteville,Internal Medicine,1871140C0,10,10,10,10,11,9,11,8,11,11
Arkansas,U Arkansas COM-Little Rock,Little Rock,Anesthesiology,1018040C0,13,13,13,13,13,13,13,13,13,13
Arkansas,U Arkansas COM-Little Rock,Little Rock,Anesthesiology,1018040R0,1,1,2,2,2,2,1,1,1,1
Arkansas,U Arkansas COM-Little Rock,Little Rock,Dermatology,1018080A0,3,3,3,3,,,,,,
Arkansas,Dermatology,,Emergency Medicine,1018110C0,11,11,10,10,10,10,10,5,12,11
Arkansas,Dermatology,,Family Medicine,1018120C0,6,6,6,6,6,6,6,6,6,6
Arkansas,Dermatology,,Internal Medicine,1018140C0,22,22,22,22,21,21,21,21,21,21
Arkansas,Dermatology,,Neurological Surgery,1018160C0,2,2,2,2,2,2,2,2,2,2
Arkansas,Dermatology,,Neurology,1018180C0,6,6,4,4,4,4,4,4,4,4
Arkansas,Dermatology,Child Neurology,Obstetrics-Gynecology,1018220C0,5,5,5,5,5,5,5,5,5,5
Arkansas,Dermatology,Child Neurology,Orthopaedic Surgery,1018260C0,5,5,5,5,5,5,5,5,5,5
Arkansas,Dermatology,Child Neurology,Otolaryngology,1018280C0,3,3,3,3,3,3,3,3,3,3
Arkansas,Dermatology,Child Neurology,Pathology,1018300C0,5,5,4,4,4,4,4,4,5,5
Arkansas,Pediatrics,,Phys Medicine & Rehab,1018340C0,4,4,4,4,4,4,4,4,4,4
Arkansas,Pediatrics,,Psychiatry,1018400C0,8,8,8,8,8,8,8,8,8,8
Arkansas,Pediatrics,,Interventional Radiology (Integ),1018416C0,2,0,,,1,1,1,1,,
Arkansas,Pediatrics,,Interventional Radiology (Integ),1018416R0,,,,,,,1,1,,
Arkansas,Pediatrics,,Radiology-Diagnostic,1018420C0,7,7,7,7,7,7,7,7,7,7
Arkansas,Pediatrics,Rad-Diag/NuRad,Radiation Oncology,1018430A0,,,1,1,1,0,1,1,1,0
Arkansas,U Arkansas COM-Little Rock (Continued),Little Rock,General Surgery,1018440C0,5,5,5,5,5,5,5,5,5,5
Arkansas,U Arkansas COM-Little Rock (Continued),Little Rock,Surgery-Preliminary,1018440P0,5,0,6,3,5,2,5,0,,
Arkansas,Vascular Surgery,,Medicine-Pediatrics,1018700C0,5,5,5,5,5,5,4,4,5,5
Arkansas,Fayetteville,,Emergency Medicine,1582110C0,6,6,,,,,,,,
Arkansas,Fayetteville,Family Medicine/Fayetteville,Family Medicine/Fort Smith,1582120C1,9,9,9,9,9,5,9,7,9,9
Arkansas,Fayetteville,Family Medicine/Fayetteville,Family Medicine/Jonesboro,1582120C2,8,5,8,6,8,3,8,3,8,5
Arkansas,Fayetteville,Family Medicine/Fayetteville,Family Medicine/Pine Bluff,1582120C4,9,9,9,9,9,9,9,7,9,9
Arkansas,Fayetteville,Family Medicine/Fayetteville,Family Medicine/Texarkana,1582120C5,8,7,8,8,8,5,8,8,8,8
Arkansas,Fayetteville,Family Medicine/Fayetteville,Family Medicine/Batesville,1582120C6,6,3,6,4,6,2,6,6,6,4
Arkansas,Family Medicine/Berryville,,Family Med/Rural/Crossett,1582120C8,3,0,3,1,3,1,,,,
Arkansas,Family Medicine/Berryville,,Family Med/Rural/Eldorado,1582120C9,4,1,,,,,,,,
Arkansas,Family Medicine/Berryville,,Internal Medicine,1582140C0,9,9,8,8,8,8,8,8,,
Arkansas,Family Medicine/Berryville,,Neurology,1582180C0,2,2,,,,,,,,
Arkansas,Searcy,,Emergency Medicine,2104110C0,6,6,6,2,6,6,6,2,6,1
Arkansas,Searcy,,Family Medicine,2104120C0,6,2,6,2,6,2,6,4,6,3
Arkansas,Searcy,,Internal Medicine,2104140C0,12,12,12,12,12,3,11,5,12,7
Arkansas,Searcy,Psychiatry,Transitional,2104999P0,,,,,13,1,16,6,13,8
Arkansas,White River Health System-AR,Batesville,Internal Medicine,1991140C0,,,,,10,10,10,10,10,10
California,Adventist Health Glendale-CA,Glendale,Family Medicine,1023120C0,8,8,8,2,8,8,8,8,8,8
California,Adventist Health Hanford-CA,Hanford,Family Medicine,2029120C0,6,6,6,6,6,6,6,6,6,6
California,Adventist Health Hanford-CA,Hanford,Family Medicine/Tulare,2029120C1,10,10,10,10,10,10,6,6,6,6
California,Adventist Health Hanford-CA,Hanford,Family Medicine/Sonora RTT,2029120C2,4,4,4,0,4,2,4,4,,
California,Adventist Health Hanford-CA,Hanford,Internal Medicine,2029140C0,4,2,4,4,4,4,,,,
California,Ukiah,,Family Medicine,2180120C0,6,5,6,5,6,6,6,6,7,2
California,Los Angeles,,Family Medicine,1040120C0,8,5,8,5,8,8,8,3,8,8
California,Los Angeles,,Internal Medicine,1040140C0,6,6,6,6,6,6,6,6,6,6
California,Los Angeles,Medicine-Preliminary,Obstetrics-Gynecology,1040220C0,5,5,5,5,5,5,5,5,5,5
California,Alameda Health Sys Highland,Oakland,Emergency Medicine,1041110C0,12,12,12,12,11,11,12,12,11,11
California,Internal Medicine,,Medicine-Primary,1041140M0,5,5,5,5,5,5,5,5,5,5
California,Internal Medicine,,Medicine-Preliminary,1041140P0,10,10,10,10,10,10,11,10,12,12
California,Arrowhead Reg Med Ctr-CA,Colton,Anesthesiology,1047040C0,5,5,5,5,,,,,,
California,Arrowhead Reg Med Ctr-CA,Colton,Emergency Medicine,1047110C0,11,11,10,10,11,11,11,8,8,8
California,Family Medicine,,Internal Medicine,1047140C0,13,13,16,16,16,16,15,15,16,16
California,Family Medicine,,Neurology,1047180C0,2,2,4,4,2,2,3,3,2,0
California,Family Medicine,,Obstetrics-Gynecology,1047220C0,3,3,2,2,4,4,3,3,3,3
California,Family Medicine,,Psychiatry,1047400C0,6,6,6,6,7,7,6,6,6,6
California,Family Medicine,Radiology-Diagnostic,General Surgery,1047440C0,5,,5,5,5,5,5,5,5,
California,Family Medicine,Radiology-Diagnostic,Surgery-Preliminary,1047440P0,4,3,2,1,2,0,2,1,2,2
California,Family Medicine,Radiology-Diagnostic,Vascular Surgery,1047451C0,1,1,1,1,,,,,,
California,Family Medicine,Radiology-Diagnostic,Emergency Med/Internal Med,1047705C0,2,2,2,2,,,,,,
California,CA Pacific Med Center,San Francisco,Internal Medicine,1061140C0,,,15,15,14,14,14,14,14,14
California,CA Pacific Med Center,San Francisco,Medicine-Preliminary,1061140P0,,,8,8,12,7,12,12,9,9
California,CA Pacific Med Center,San Francisco,Med-Prelim/Neurology,1061140P1,,,2,2,,,,,1,1
California,CA Pacific Med Center,San Francisco,Med-Prelim/Ophthalmology,1061140P2,,,,,3,3,3,3,3,3
California,Med-Prelim/Anesthesiology,,Psychiatry,1061400C0,,,5,5,5,5,4,4,4,4
California,Sacremento,,Public Health & Prev Med/2yr-MPH,2414380R0,2,1,3,3,,,,,,
California,Pomona,,Phys Medicine & Rehab,2151340A0,3,3,3,3,3,3,3,3,3,3
